fips,med-zhvi,med-zrvi
13001,,
13003,,
13005,,
13007,,
13009,$66.08 ,$0.62 
13011,$89.58 ,$0.70 
13013,$93.50 ,$0.73 
13015,$93.50 ,$0.71 
13017,,$0.60 
13019,,$0.61 
13021,$52.75 ,$0.60 
13023,,
13025,,
13027,,$0.61 
13029,$110.42 ,$0.81 
13031,$73.92 ,$0.60 
13033,$48.42 ,
13035,$71.00 ,$0.70 
13037,$34.92 ,
13039,$93.67 ,$0.71 
13043,,
13045,$82.25 ,$0.65 
13047,$92.00 ,$0.77 
13049,,
13051,$95.33 ,$0.85 
13053,,$0.68 
13055,,
13057,$117.17 ,$0.81 
13059,$92.17 ,$0.73 
13061,,
13063,$58.75 ,$0.67 
13065,,
13067,$117.83 ,$0.86 
13069,$51.75 ,
13071,$51.00 ,
13073,$91.25 ,$0.67 
13075,,$0.58 
13077,$101.08 ,$0.76 
13079,,$0.63 
13081,,$0.62 
13083,,$0.71 
13085,$123.75 ,$0.72 
13087,$64.33 ,
13089,$95.75 ,$0.83 
13091,,$0.63 
13093,,
13095,$49.50 ,$0.53 
13097,$85.42 ,$0.73 
13099,,
13101,,
13103,$97.58 ,$0.76 
13105,,$0.64 
13107,,$0.59 
13109,,$0.62 
13111,$108.50 ,$0.99 
13113,$116.08 ,$0.84 
13115,$65.92 ,$0.64 
13117,$133.75 ,$0.79 
13119,$69.75 ,$0.67 
13121,$142.67 ,$0.94 
13123,$101.83 ,$0.78 
13125,,
13127,$99.17 ,
13129,$77.42 ,$0.70 
13131,,$0.64 
13133,$137.92 ,$0.87 
13135,$96.83 ,$0.75 
13137,$87.67 ,$0.75 
13139,$107.42 ,$0.85 
13141,,
13143,$69.17 ,$0.67 
13145,$95.17 ,$0.66 
13147,$76.58 ,$0.69 
13149,,$0.66 
13151,$81.17 ,$0.68 
13153,$74.50 ,$0.64 
13155,,
13157,$95.17 ,$0.71 
13159,$74.92 ,$0.72 
13161,,
13163,,$0.64 
13165,,
13167,,
13169,$65.50 ,$0.61 
13171,$66.83 ,$0.65 
13173,,$0.65 
13175,$55.00 ,$0.59 
13177,$82.17 ,$0.67 
13179,$78.92 ,$0.68 
13181,,$0.69 
13183,$78.67 ,$0.69 
13185,$70.50 ,$0.60 
13187,$104.75 ,$0.75 
13193,,$0.59 
13195,$75.17 ,$0.67 
13197,,
13189,,
13191,,$0.76 
13199,$53.67 ,$0.66 
13201,,
13205,,$0.59 
13207,$89.75 ,$0.66 
13209,,$0.64 
13211,$102.58 ,$0.78 
13213,$77.33 ,$0.74 
40101,$59.00 ,$0.59 
13217,$77.08 ,$0.69 
13219,$116.33 ,$0.82 
13221,$81.25 ,$0.68 
13223,,$0.78 
13225,$66.50 ,$0.60 
13227,$109.83 ,$0.85 
13229,,
13231,$85.67 ,$0.67 
13233,$58.42 ,$0.69 
13235,,$0.60 
13237,$98.17 ,$0.75 
13239,,$0.66 
13241,,$0.78 
13243,,
13245,,$0.61 
13247,$73.58 ,$0.66 
13249,,
13251,,$0.59 
13253,,$0.65 
13255,$64.25 ,$0.63 
13257,$62.08 ,$0.68 
13259,,$0.72 
13261,$46.75 ,
13263,,$0.68 
13265,,$0.67 
13267,,$0.61 
13269,,
13271,,
13273,,$0.67 
13275,,
13277,$67.92 ,$0.62 
13279,,$0.59 
13281,,$0.79 
13283,,
13285,$66.42 ,$0.62 
13287,,$0.61 
13289,,
13291,$123.92 ,$0.91 
13293,$46.83 ,$0.62 
13295,$68.00 ,$0.72 
13297,$96.42 ,$0.68 
13299,$46.42 ,$0.57 
13301,,
13303,,
13305,$61.75 ,$0.63 
13307,,$0.64 
13309,,
13311,$101.25 ,$0.77 
13313,$76.92 ,$0.71 
13315,,
13317,,$0.68 
13319,,$0.63 
13321,,$0.63 